Expected Output,Actual Output,File name,Parsed Json file
coronation,coronation,multi/at2G26.aiff,at2G-multi.json
constellation,constellation,multi/at2G24.aiff,at2G-multi.json
consume,consume,multi/at2G25.aiff,at2G-multi.json
clarinet,clarinet,multi/at2G23.aiff,at2G-multi.json
deactivate,deactivate,multi/at2G29.aiff,at2G-multi.json
tiger,tiger,multi/at2G104.aiff,at2G-multi.json
tomato,tomato,multi/at2G105.aiff,at2G-multi.json
adapt,a death,multi/at2G1004.aiff,at2G-multi.json
teamster,teamster,multi/at2G103.aiff,at2G-multi.json
sweeten,sweden,multi/at2G101.aiff,at2G-multi.json
tangerine,tangerine,multi/at2G102.aiff,at2G-multi.json
absent,epson,multi/at2G0.aiff,at2G-multi.json
superhighway,super highway,multi/at2G100.aiff,at2G-multi.json
bazooka,bazooka,multi/at2G15.aiff,at2G-multi.json
bikini,bikini,multi/at2G16.aiff,at2G-multi.json
bombard,bombard,multi/at2G17.aiff,at2G-multi.json
circumstance,circumstance,multi/at2G22.aiff,at2G-multi.json
cemetery,cemetery,multi/at2G21.aiff,at2G-multi.json
obsession,obsession,multi/at2G68.aiff,at2G-multi.json
obedient,obedient,multi/at2G67.aiff,at2G-multi.json
pastel,pesto,multi/at2G76.aiff,at2G-multi.json
prolong,prolong,multi/at2G87.aiff,at2G-multi.json
qualify,qualify,multi/at2G88.aiff,at2G-multi.json
readable,readable,multi/at2G89.aiff,at2G-multi.json
anonymous,anonymous,multi/at2G9.aiff,at2G-multi.json
recording,recording,multi/at2G90.aiff,at2G-multi.json
robin,robin,multi/at2G91.aiff,at2G-multi.json
salamander,salamander,multi/at2G93.aiff,at2G-multi.json
functionary,functionary,multi/at2G42.aiff,at2G-multi.json
helicopter,helicopter,multi/at2G48.aiff,at2G-multi.json
giant,giant,multi/at2G45.aiff,at2G-multi.json
happily,happily,multi/at2G47.aiff,at2G-multi.json
guitar,guitar,multi/at2G46.aiff,at2G-multi.json
hurricane,hurricane,multi/at2G49.aiff,at2G-multi.json
alibi,alibi,multi/at2G5.aiff,at2G-multi.json
outdoors,outdoors,multi/at2G72.aiff,at2G-multi.json
paranoia,paranoia,multi/at2G75.aiff,at2G-multi.json
outshine,outside,multi/at2G73.aiff,at2G-multi.json
paragraph,paragraph,multi/at2G74.aiff,at2G-multi.json
opportune,opportun,multi/at2G70.aiff,at2G-multi.json
alligator,alligator,multi/at2G7.aiff,at2G-multi.json
victorious,victorious,multi/at2G111.aiff,at2G-multi.json
armadillo,armadillo,multi/at2G11.aiff,at2G-multi.json
unclean,unclean,multi/at2G109.aiff,at2G-multi.json
underrate,under it,multi/at2G110.aiff,at2G-multi.json
axle,axle,multi/at2G13.aiff,at2G-multi.json
athletic,athletic,multi/at2G12.aiff,at2G-multi.json
peninsula,peninsula,multi/at2G77.aiff,at2G-multi.json
optimism,optimism,multi/at2G71.aiff,at2G-multi.json
obtain,null,multi/at2G69.aiff,at2G-multi.json
disapproval,dissaproval,multi/at2G33.aiff,at2G-multi.json
earthy,earthy,multi/at2G35.aiff,at2G-multi.json
discourteous,discordious,multi/at2G34.aiff,at2G-multi.json
disagree,disagree,multi/at2G32.aiff,at2G-multi.json
insulate,influte,multi/at2G52.aiff,at2G-multi.json
porcupine,porcupine,multi/at2G81.aiff,at2G-multi.json
potassium,potassium,multi/at2G82.aiff,at2G-multi.json
exterior,exterior,multi/at2G38.aiff,at2G-multi.json
feminine,feminine,multi/at2G39.aiff,at2G-multi.json
equalizer,equalizer,multi/at2G36.aiff,at2G-multi.json
evaporate,evaporate,multi/at2G37.aiff,at2G-multi.json
kazoo,kazoo,multi/at2G55.aiff,at2G-multi.json
caf,cafe,multi/at2G18.aiff,at2G-multi.json
accelerate,accelerate,multi/at2G2.aiff,at2G-multi.json
cauliflower,cauliflower,multi/at2G20.aiff,at2G-multi.json
caterpillar,caterpillar,multi/at2G19.aiff,at2G-multi.json
bassinet,bassinet,multi/at2G14.aiff,at2G-multi.json
accuser,accuser,multi/at2G3.aiff,at2G-multi.json
dandelion,dandelion,multi/at2G28.aiff,at2G-multi.json
coyote,coyote,multi/at2G27.aiff,at2G-multi.json
gallop,gallop,multi/at2G43.aiff,at2G-multi.json
generalize,general lives,multi/at2G44.aiff,at2G-multi.json
forecast,forecast,multi/at2G41.aiff,at2G-multi.json
aquarium,aquarium,multi/at2G10.aiff,at2G-multi.json
absentee,absolutely,multi/at2G1.aiff,at2G-multi.json
unbroken,unbroken,multi/at2G108.aiff,at2G-multi.json
mascara,mascara,multi/at2G1062.aiff,at2G-multi.json
trombone,trombone,multi/at2G106.aiff,at2G-multi.json
unadvised,uninvited,multi/at2G107.aiff,at2G-multi.json
hid,head,at7J10005.aiff,at7J-vowel.json
had,null,at7J10007.aiff,at7J-vowel.json
hudd,hard,at7J10001.aiff,at7J-vowel.json
hoed,hood,at7J10003.aiff,at7J-vowel.json
hayed,head,at7J10002.aiff,at7J-vowel.json
hod,hard,at7J10000.aiff,at7J-vowel.json
who'd,good,at7J40008.aiff,at7J-vowel.json
hid,head,at7J5.aiff,at7J-vowel.json
had,null,at7J7.aiff,at7J-vowel.json
head,head,at7J6.aiff,at7J-vowel.json
who'd,good,at7J10008.aiff,at7J-vowel.json
hood,hard,at7J10009.aiff,at7J-vowel.json
heed,null,at7J10004.aiff,at7J-vowel.json
head,head,at7J10006.aiff,at7J-vowel.json
who'd,hood,at7J8.aiff,at7J-vowel.json
hood,hard,at7J9.aiff,at7J-vowel.json
hayed,hate,at7J2.aiff,at7J-vowel.json
hod,hard,at7J0.aiff,at7J-vowel.json
hoed,hood,at7J3.aiff,at7J-vowel.json
hudd,hard,at7J1.aiff,at7J-vowel.json
heed,null,at7J4.aiff,at7J-vowel.json
hood,hood,at7J40009.aiff,at7J-vowel.json
heed,null,at7J40004.aiff,at7J-vowel.json
had,hat,at7J40007.aiff,at7J-vowel.json
hid,head,at7J40005.aiff,at7J-vowel.json
head,head,at7J40006.aiff,at7J-vowel.json
hod,hard,at7J40000.aiff,at7J-vowel.json
hayed,hade,at7J40002.aiff,at7J-vowel.json
hudd,hard,at7J30001.aiff,at7J-vowel.json
heed,null,at7J30004.aiff,at7J-vowel.json
had,null,at7J30007.aiff,at7J-vowel.json
hid,head,at7J30005.aiff,at7J-vowel.json
head,head,at7J30006.aiff,at7J-vowel.json
who'd,good,at7J20008.aiff,at7J-vowel.json
hood,hard,at7J20009.aiff,at7J-vowel.json
hoed,hood,at7J40003.aiff,at7J-vowel.json
hudd,null,at7J40001.aiff,at7J-vowel.json
who'd,good,at7J30008.aiff,at7J-vowel.json
hood,hide,at7J30009.aiff,at7J-vowel.json
hoed,hard,at7J30003.aiff,at7J-vowel.json
hod,hard,at7J30000.aiff,at7J-vowel.json
hayed,head,at7J30002.aiff,at7J-vowel.json
hid,head,at7J20005.aiff,at7J-vowel.json
hod,null,at7J20000.aiff,at7J-vowel.json
hudd,null,at7J20001.aiff,at7J-vowel.json
hoed,hard,at7J20003.aiff,at7J-vowel.json
hayed,hair,at7J20002.aiff,at7J-vowel.json
had,null,at7J20007.aiff,at7J-vowel.json
heed,head,at7J20004.aiff,at7J-vowel.json
head,head,at7J20006.aiff,at7J-vowel.json
