Expected Output,Actual Output,File name,Parsed Json file,Status
anonymous,anonymous,multi/we0G9.aiff,we0g-multi.json,
recording,recording,multi/we0G90.aiff,we0g-multi.json,
readable,readable,multi/we0G89.aiff,we0g-multi.json,
procrastinate,procrastinate,multi/we0G86.aiff,we0g-multi.json,
proclaim,proclaim,multi/we0G85.aiff,we0g-multi.json,
prolong,prolong,multi/we0G87.aiff,we0g-multi.json,
qualify,qualify,multi/we0G88.aiff,we0g-multi.json,
paranoia,paranoia,multi/we0G75.aiff,we0g-multi.json,
paragraph,paragraph,multi/we0G74.aiff,we0g-multi.json,
obtain,obtain,multi/we0G69.aiff,we0g-multi.json,
obedient,obedient,multi/we0G67.aiff,we0g-multi.json,
alligator,alligator,multi/we0G7.aiff,we0g-multi.json,
obsession,obsession,multi/we0G68.aiff,we0g-multi.json,
opportune,opportun,multi/we0G70.aiff,we0g-multi.json,
outshine,outshine,multi/we0G73.aiff,we0g-multi.json,
optimism,optimism,multi/we0G71.aiff,we0g-multi.json,
outdoors,outdoors,multi/we0G72.aiff,we0g-multi.json,
tiger,tiger,multi/we0G1104.aiff,we0g-multi.json,
victorious,victorious,multi/we0G111.aiff,we0g-multi.json,
tomato,tomato,multi/we0G105.aiff,we0g-multi.json,
trombone,trombone,multi/we0G106.aiff,we0g-multi.json,
unadvised,advised,multi/we0G107.aiff,we0g-multi.json,
outshine,outshine,multi/we0G1073.aiff,we0g-multi.json,
armadillo,armadillo,multi/we0G11.aiff,we0g-multi.json,
unclean,unclean,multi/we0G109.aiff,we0g-multi.json,
underrate,under rate,multi/we0G110.aiff,we0g-multi.json,
circumstance,circumstance,multi/we0G22.aiff,we0g-multi.json,
consume,consume,multi/we0G25.aiff,we0g-multi.json,
coronation,coronation,multi/we0G26.aiff,we0g-multi.json,
coyote,coyote,multi/we0G27.aiff,we0g-multi.json,
dandelion,dandelion,multi/we0G28.aiff,we0g-multi.json,
subdivide,subdivide,multi/we0G99.aiff,we0g-multi.json,
unbroken,unbroken,multi/we0G108.aiff,we0g-multi.json,
adapt,adapt,multi/we0G4.aiff,we0g-multi.json,
functionary,functionary,multi/we0G42.aiff,we0g-multi.json,
feminism,feminist feminism,multi/we0G40.aiff,we0g-multi.json,
generalize,generalize,multi/we0G44.aiff,we0g-multi.json,
guitar,guitar,multi/we0G46.aiff,we0g-multi.json,
giant,giant,multi/we0G45.aiff,we0g-multi.json,
gallop,gallop,multi/we0G43.aiff,we0g-multi.json,
helicopter,helicopter,multi/we0G48.aiff,we0g-multi.json,
happily,happily,multi/we0G47.aiff,we0g-multi.json,
diabetes,diabetes,multi/we0G31.aiff,we0g-multi.json,
exterior,exterior,multi/we0G38.aiff,we0g-multi.json,
feminine,synonym,multi/we0G39.aiff,we0g-multi.json,
earthy,rc,multi/we0G35.aiff,we0g-multi.json,
equalizer,equalizer,multi/we0G36.aiff,we0g-multi.json,
discourteous,discordious,multi/we0G34.aiff,we0g-multi.json,
nectarine,nectarine,multi/we0G66.aiff,we0g-multi.json,
alien,alien,multi/we0G6.aiff,we0g-multi.json,
porcelain,porcelain,multi/we0G80.aiff,we0g-multi.json,
amphibian,amphibian,multi/we0G8.aiff,we0g-multi.json,
potassium,potassium,multi/we0G82.aiff,we0g-multi.json,
preferably,preferably,multi/we0G84.aiff,we0g-multi.json,
precipitate,precipitate,multi/we0G83.aiff,we0g-multi.json,
rodeo,rodeo,multi/we0G92.aiff,we0g-multi.json,
malfunction,malfunction,multi/we0G59.aiff,we0g-multi.json,
macaroni,macaroni,multi/we0G58.aiff,we0g-multi.json,
manufacture,manufacture,multi/we0G60.aiff,we0g-multi.json,
martini,martini,multi/we0G61.aiff,we0g-multi.json,
loyal,oil,cvc/we2B42.aiff,we2b-cvc.json,
coal,cole,cvc/we2B9.aiff,we2b-cvc.json,
caught,caught,cvc/we2B8.aiff,we2b-cvc.json,
wet,what,cvc/we2B73.aiff,we2b-cvc.json,
wall,wall,cvc/we2B72.aiff,we2b-cvc.json,
wool,wool,cvc/we2B74.aiff,we2b-cvc.json,
wrong,wrong,cvc/we2B75.aiff,we2b-cvc.json,
lull,low,cvc/we2B44.aiff,we2b-cvc.json,
luck,luck,cvc/we2B43.aiff,we2b-cvc.json,
keep,keep,cvc/we2B38.aiff,we2b-cvc.json,
hill,hill,cvc/we2B36.aiff,we2b-cvc.json,
home,home,cvc/we2B37.aiff,we2b-cvc.json,
lit,lit,cvc/we2B39.aiff,we2b-cvc.json,
loud,loud,cvc/we2B40.aiff,we2b-cvc.json,
love,love,cvc/we2B41.aiff,we2b-cvc.json,
bite,bite,cvc/we2B1.aiff,we2b-cvc.json,
cough,cough,cvc/we2B15.aiff,we2b-cvc.json,
cot,cot,cvc/we2B14.aiff,we2b-cvc.json,
con,call,cvc/we2B12.aiff,we2b-cvc.json,
cool,cool,cvc/we2B13.aiff,we2b-cvc.json,
head,head,cvc/we2B34.aiff,we2b-cvc.json,
heal,heal,cvc/we2B35.aiff,we2b-cvc.json,
fool,cool,cvc/we2B28.aiff,we2b-cvc.json,
foul,foul,cvc/we2B29.aiff,we2b-cvc.json,
fire,fire,cvc/we2B27.aiff,we2b-cvc.json,
boil,oil,cvc/we2B3.aiff,we2b-cvc.json,
guide,guide,cvc/we2B33.aiff,we2b-cvc.json,
good,good,cvc/we2B32.aiff,we2b-cvc.json,
full,full,cvc/we2B30.aiff,we2b-cvc.json,
gap,gap,cvc/we2B31.aiff,we2b-cvc.json,
doll,doll,cvc/we2B20.aiff,we2b-cvc.json,
dime,time,cvc/we2B18.aiff,we2b-cvc.json,
boat,boat,cvc/we2B2.aiff,we2b-cvc.json,
dock,dock,cvc/we2B19.aiff,we2b-cvc.json,
fell,cell,cvc/we2B26.aiff,we2b-cvc.json,
feed,feed,cvc/we2B25.aiff,we2b-cvc.json,
fail,phil,cvc/we2B24.aiff,we2b-cvc.json,
fade,fade,cvc/we2B23.aiff,we2b-cvc.json,
doubt,doubt,cvc/we2B21.aiff,we2b-cvc.json,
dull,,cvc/we2B22.aiff,we2b-cvc.json,
meal,meal,cvc/we2B48.aiff,we2b-cvc.json,
lung,long,cvc/we2B45.aiff,we2b-cvc.json,
main,maine,cvc/we2B46.aiff,we2b-cvc.json,
math,math,cvc/we2B47.aiff,we2b-cvc.json,
pal,pal,cvc/we2B52.aiff,we2b-cvc.json,
pen,10,cvc/we2B53.aiff,we2b-cvc.json,
mile,mile,cvc/we2B49.aiff,we2b-cvc.json,
mob,mob,cvc/we2B51.aiff,we2b-cvc.json,
mill,mill,cvc/we2B50.aiff,we2b-cvc.json,
cab,cab,cvc/we2B5.aiff,we2b-cvc.json,
sour,sour,cvc/we2B62.aiff,we2b-cvc.json,
sell,cell,cvc/we2B61.aiff,we2b-cvc.json,
rip,rip,cvc/we2B59.aiff,we2b-cvc.json,
sail,cell,cvc/we2B60.aiff,we2b-cvc.json,
calm,call,cvc/we2B6.aiff,we2b-cvc.json,
rice,rice,cvc/we2B58.aiff,we2b-cvc.json,
poke,poke,cvc/we2B55.aiff,we2b-cvc.json,
pool,pool,cvc/we2B56.aiff,we2b-cvc.json,
pull,pole,cvc/we2B57.aiff,we2b-cvc.json,
pin,pin,cvc/we2B54.aiff,we2b-cvc.json,
towel,,cvc/we2B66.aiff,we2b-cvc.json,
tool,tool,cvc/we2B65.aiff,we2b-cvc.json,
south,south,cvc/we2B63.aiff,we2b-cvc.json,
tape,tape,cvc/we2B64.aiff,we2b-cvc.json,
bull,bull,cvc/we2B4.aiff,we2b-cvc.json,
dig,dig,cvc/we2B17.aiff,we2b-cvc.json,
death,death,cvc/we2B16.aiff,we2b-cvc.json,
bean,bean,cvc/we2B0.aiff,we2b-cvc.json,
code,code,cvc/we2B10.aiff,we2b-cvc.json,
coin,coin,cvc/we2B11.aiff,we2b-cvc.json,
void,void,cvc/we2B70.aiff,we2b-cvc.json,
walk,walk,cvc/we2B71.aiff,we2b-cvc.json,
town,lbs,cvc/we2B67.aiff,we2b-cvc.json,
tube,tube,cvc/we2B68.aiff,we2b-cvc.json,
can,cam,cvc/we2B7.aiff,we2b-cvc.json,
voice,voice,cvc/we2B69.aiff,we2b-cvc.json,
gap,gap,cvc/we3B31.aiff,we3b-cvc.json,
lull,low,cvc/we3B44.aiff,we3b-cvc.json,
head,head,cvc/we3B34.aiff,we3b-cvc.json,
guide,guide,cvc/we3B33.aiff,we3b-cvc.json,
fell,phil,cvc/we3B26.aiff,we3b-cvc.json,
fire,fire,cvc/we3B27.aiff,we3b-cvc.json,
foul,foul,cvc/we3B29.aiff,we3b-cvc.json,
fool,fool,cvc/we3B28.aiff,we3b-cvc.json,
boil,boil,cvc/we3B3.aiff,we3b-cvc.json,
cool,cool,cvc/we3B13.aiff,we3b-cvc.json,
bite,bite,cvc/we3B1.aiff,we3b-cvc.json,
code,code,cvc/we3B10.aiff,we3b-cvc.json,
bean,bean,cvc/we3B0.aiff,we3b-cvc.json,
lit,lit,cvc/we3B1039.aiff,we3b-cvc.json,
can,can,cvc/we3B7.aiff,we3b-cvc.json,
void,void,cvc/we3B70.aiff,we3b-cvc.json,
luck,luck,cvc/we3B43.aiff,we3b-cvc.json,
heal,heal,cvc/we3B35.aiff,we3b-cvc.json,
hill,hill,cvc/we3B36.aiff,we3b-cvc.json,
keep,keep,cvc/we3B38.aiff,we3b-cvc.json,
home,home,cvc/we3B37.aiff,we3b-cvc.json,
loud,loud,cvc/we3B40.aiff,we3b-cvc.json,
bull,bull,cvc/we3B4.aiff,we3b-cvc.json,
love,love,cvc/we3B41.aiff,we3b-cvc.json,
lit,,cvc/we3B39.aiff,we3b-cvc.json,
cough,cough,cvc/we3B15.aiff,we3b-cvc.json,
death,death,cvc/we3B16.aiff,we3b-cvc.json,
coin,coin,cvc/we3B11.aiff,we3b-cvc.json,
con,khan,cvc/we3B12.aiff,we3b-cvc.json,
cot,cot,cvc/we3B14.aiff,we3b-cvc.json,
towel,towel,cvc/we3B66.aiff,we3b-cvc.json,
tube,tube,cvc/we3B68.aiff,we3b-cvc.json,
voice,voice,cvc/we3B69.aiff,we3b-cvc.json,
town,town,cvc/we3B67.aiff,we3b-cvc.json,
south,south,cvc/we3B63.aiff,we3b-cvc.json,
tool,tool,cvc/we3B65.aiff,we3b-cvc.json,
tape,tape,cvc/we3B64.aiff,we3b-cvc.json,
sour,sour,cvc/we3B62.aiff,we3b-cvc.json,
wrong,wrong,cvc/we3B75.aiff,we3b-cvc.json,
pull,,cvc/we3B57.aiff,we3b-cvc.json,
rice,rice,cvc/we3B58.aiff,we3b-cvc.json,
rip,rip,cvc/we3B59.aiff,we3b-cvc.json,
calm,calm,cvc/we3B6.aiff,we3b-cvc.json,
sail,sale,cvc/we3B60.aiff,we3b-cvc.json,
sell,cell,cvc/we3B61.aiff,we3b-cvc.json,
doubt,doubt,cvc/we3B21.aiff,we3b-cvc.json,
pin,pin,cvc/we3B54.aiff,we3b-cvc.json,
pen,pen,cvc/we3B53.aiff,we3b-cvc.json,
poke,poke,cvc/we3B55.aiff,we3b-cvc.json,
pool,pool,cvc/we3B56.aiff,we3b-cvc.json,
feed,feed,cvc/we3B25.aiff,we3b-cvc.json,
fail,fail,cvc/we3B24.aiff,we3b-cvc.json,
doll,doll,cvc/we3B20.aiff,we3b-cvc.json,
good,good,cvc/we3B32.aiff,we3b-cvc.json,
full,full,cvc/we3B30.aiff,we3b-cvc.json,
mob,mob,cvc/we3B51.aiff,we3b-cvc.json,
pal,pal,cvc/we3B52.aiff,we3b-cvc.json,
lung,long,cvc/we3B45.aiff,we3b-cvc.json,
main,maine,cvc/we3B46.aiff,we3b-cvc.json,
wall,wall,cvc/we3B72.aiff,we3b-cvc.json,
walk,walk,cvc/we3B71.aiff,we3b-cvc.json,
wet,quit,cvc/we3B73.aiff,we3b-cvc.json,
wool,wool,cvc/we3B74.aiff,we3b-cvc.json,
caught,cot,cvc/we3B8.aiff,we3b-cvc.json,
coal,cole,cvc/we3B9.aiff,we3b-cvc.json,
fade,fade,cvc/we3B23.aiff,we3b-cvc.json,
dull,,cvc/we3B22.aiff,we3b-cvc.json,
boat,boat,cvc/we3B2.aiff,we3b-cvc.json,
dime,dime,cvc/we3B18.aiff,we3b-cvc.json,
dig,dig,cvc/we3B17.aiff,we3b-cvc.json,
dock,dock,cvc/we3B19.aiff,we3b-cvc.json,
math,math,cvc/we3B47.aiff,we3b-cvc.json,
cab,cab,cvc/we3B5.aiff,we3b-cvc.json,
mill,no,cvc/we3B50.aiff,we3b-cvc.json,
mile,mile,cvc/we3B49.aiff,we3b-cvc.json,
meal,neil,cvc/we3B48.aiff,we3b-cvc.json,
loyal,loyal,cvc/we3B42.aiff,we3b-cvc.json,
caterpillar,caterpillar,we7G19.aiff,we7G-multi.json,
cafÂŽ,cafe,we7G18.aiff,we7G-multi.json,
bikini,bikini,we7G16.aiff,we7G-multi.json,
bombard,bard,we7G17.aiff,we7G-multi.json,
bazooka,bazooka,we7G15.aiff,we7G-multi.json,
bassinet,bassinet,we7G14.aiff,we7G-multi.json,
axle,axle,we7G13.aiff,we7G-multi.json,
armadillo,armadillo,we7G11.aiff,we7G-multi.json,
aquarium,aquarium,we7G10.aiff,we7G-multi.json,
athletic,athletic,we7G12.aiff,we7G-multi.json,
discourteous,purchase,we7G1034.aiff,we7G-multi.json,
procrastinate,procrastinate,we7G1086.aiff,we7G-multi.json,
discourteous,discordious,we7G2034.aiff,we7G-multi.json,
coyote,coyote,we7G1027.aiff,we7G-multi.json,
underrate,under 8,we7G110.aiff,we7G-multi.json,
disagree,disagree,we7G32.aiff,we7G-multi.json,
disapproval,dissaproval,we7G33.aiff,we7G-multi.json,
discourteous,discourse,we7G34.aiff,we7G-multi.json,
equalizer,equalizer,we7G36.aiff,we7G-multi.json,
earthy,earthy,we7G35.aiff,we7G-multi.json,
evaporate,evaporate,we7G37.aiff,we7G-multi.json,
qualify,qualify,we7G88.aiff,we7G-multi.json,
readable,read a book,we7G89.aiff,we7G-multi.json,
prolong,prolong,we7G87.aiff,we7G-multi.json,
procrastinate,procrastinate,we7G86.aiff,we7G-multi.json,
poisoner,poisoner,we7G79.aiff,we7G-multi.json,
photographic,photographic,we7G78.aiff,we7G-multi.json,
optimism,optimism,we7G71.aiff,we7G-multi.json,
opportune,opportun,we7G70.aiff,we7G-multi.json,
outshine,outshine,we7G73.aiff,we7G-multi.json,
circumstance,circumstance,we7G22.aiff,we7G-multi.json,
outdoors,outdoors,we7G72.aiff,we7G-multi.json,
peninsula,peninsula,we7G77.aiff,we7G-multi.json,
paragraph,paragraph,we7G74.aiff,we7G-multi.json,
pastel,pastel,we7G76.aiff,we7G-multi.json,
paranoia,paranoia,we7G75.aiff,we7G-multi.json,
deactivate,deactivate,we7G29.aiff,we7G-multi.json,
dandelion,dandelion,we7G28.aiff,we7G-multi.json,
coronation,carnation,we7G26.aiff,we7G-multi.json,
helicopter,helicopter,we7G48.aiff,we7G-multi.json,
hurricane,hurricane,we7G49.aiff,we7G-multi.json,
gallop,gallop,we7G43.aiff,we7G-multi.json,
feminism,feminism,we7G40.aiff,we7G-multi.json,
functionary,functionary,we7G42.aiff,we7G-multi.json,
forecast,forecast,we7G41.aiff,we7G-multi.json,
giant,giant,we7G45.aiff,we7G-multi.json,
guitar,guitar,we7G46.aiff,we7G-multi.json,
happily,happily,we7G47.aiff,we7G-multi.json,
generalize,general eyes,we7G44.aiff,we7G-multi.json,
obsession,obsession,we7G68.aiff,we7G-multi.json,
obtain,obtain,we7G69.aiff,we7G-multi.json,
mascara,mascara,we7G62.aiff,we7G-multi.json,
unbroken,unbroken,we7G108.aiff,we7G-multi.json,
unclean,unclean clean,we7G109.aiff,we7G-multi.json,
tomato,tomato,we7G105.aiff,we7G-multi.json,
trombone,trombone,we7G106.aiff,we7G-multi.json,
unadvised,advice,we7G107.aiff,we7G-multi.json,
tiger,tiger,we7G104.aiff,we7G-multi.json,
tangerine,tangerine,we7G102.aiff,we7G-multi.json,
manufacture,manufacture,we7G60.aiff,we7G-multi.json,
martini,bikini,we7G61.aiff,we7G-multi.json,
mighty,mighty,we7G63.aiff,we7G-multi.json,
museum,museum,we7G65.aiff,we7G-multi.json,
mispronounce,miss pronounce,we7G64.aiff,we7G-multi.json,
nectarine,nectarine,we7G66.aiff,we7G-multi.json,
obedient,obedience,we7G67.aiff,we7G-multi.json,
subdivide,subdivide,we7G99.aiff,we7G-multi.json,
strengthen,strengthen,we7G98.aiff,we7G-multi.json,
recording,recording,we7G90.aiff,we7G-multi.json,
rodeo,rodeo,we7G92.aiff,we7G-multi.json,
robin,robin,we7G91.aiff,we7G-multi.json,
salamander,salamander,we7G93.aiff,we7G-multi.json,
amphibian,amphibian,we7G8.aiff,we7G-multi.json,
superhighway,super highway,we7G100.aiff,we7G-multi.json,
teamster,teamster,we7G103.aiff,we7G-multi.json,
sweeten,sweden,we7G101.aiff,we7G-multi.json,
spider,spider,we7G96.aiff,we7G-multi.json,
sarcastic,sarcastic,we7G94.aiff,we7G-multi.json,
serenade,serenade,we7G95.aiff,we7G-multi.json,
sterile,sterile,we7G97.aiff,we7G-multi.json,
anonymous,anonymous,we7G9.aiff,we7G-multi.json,
accuser,accuser,we7G3.aiff,we7G-multi.json,
accelerate,accelerate,we7G2.aiff,we7G-multi.json,
absent,absent,we7G0.aiff,we7G-multi.json,
absentee,absentee,we7G1.aiff,we7G-multi.json,
alien,alien,we7G6.aiff,we7G-multi.json,
alibi,alibi,we7G5.aiff,we7G-multi.json,
alligator,alligator,we7G7.aiff,we7G-multi.json,
adapt,adapt,we7G4.aiff,we7G-multi.json,
macaroni,macaroni,we7G58.aiff,we7G-multi.json,
malfunction,malfunction,we7G59.aiff,we7G-multi.json,
lemonade,lemonade,we7G56.aiff,we7G-multi.json,
alligator,alligator,we7G1007.aiff,we7G-multi.json,
victorious,victorious,we7G111.aiff,we7G-multi.json,
exterior,exterior,we7G38.aiff,we7G-multi.json,
feminine,feminine,we7G39.aiff,we7G-multi.json,
diabetes,diabetes,we7G31.aiff,we7G-multi.json,
detrimental,instrumental,we7G30.aiff,we7G-multi.json,
precipitate,precipitate,we7G83.aiff,we7G-multi.json,
porcelain,porcelain,we7G80.aiff,we7G-multi.json,
potassium,potassium,we7G82.aiff,we7G-multi.json,
porcupine,porcupine,we7G81.aiff,we7G-multi.json,
preferably,preferably,we7G84.aiff,we7G-multi.json,
proclaim,proclaim,we7G85.aiff,we7G-multi.json,
kangeroo,kangaroo,we7G54.aiff,we7G-multi.json,
kazoo,kazoo,we7G55.aiff,we7G-multi.json,
liberator,liberator,we7G57.aiff,we7G-multi.json,
cemetery,cemetery,we7G21.aiff,we7G-multi.json,
cauliflower,cauliflower,we7G20.aiff,we7G-multi.json,
clarinet,clarinet,we7G23.aiff,we7G-multi.json,
consume,consume,we7G25.aiff,we7G-multi.json,
coyote,coyote,we7G27.aiff,we7G-multi.json,
constellation,constellation,we7G24.aiff,we7G-multi.json,
incoherent,incoherence,we7G50.aiff,we7G-multi.json,
influenza,influenza,we7G51.aiff,we7G-multi.json,
insulate,insulate,we7G52.aiff,we7G-multi.json,
iodine,iodine,we7G53.aiff,we7G-multi.json,
hod,hard,vowel/at1J0.aiff,at1-vowel.json,FAILED
who'd,food,vowel/at1J8.aiff,at1-vowel.json,FAILED
hood,hood,vowel/at1J9.aiff,at1-vowel.json,PASSED
hid,hid,vowel/at1J5.aiff,at1-vowel.json,PASSED
had,head,vowel/at1J7.aiff,at1-vowel.json,FAILED
hood,hood,vowel/at1J40009.aiff,at1-vowel.json,PASSED
head,head,vowel/at1J6.aiff,at1-vowel.json,PASSED
who'd,food,vowel/at1J40008.aiff,at1-vowel.json,FAILED
hid,hid,vowel/at1J40005.aiff,at1-vowel.json,PASSED
had,head,vowel/at1J40007.aiff,at1-vowel.json,FAILED
head,head,vowel/at1J40006.aiff,at1-vowel.json,PASSED
had,head,vowel/at1J10007.aiff,at1-vowel.json,FAILED
head,head,vowel/at1J10006.aiff,at1-vowel.json,PASSED
hod,hard,vowel/at1J10000.aiff,at1-vowel.json,FAILED
hudd,hood,vowel/at1J1.aiff,at1-vowel.json,FAILED
hid,hid,vowel/at1J30005.aiff,at1-vowel.json,PASSED
hod,hard,vowel/at1J30000.aiff,at1-vowel.json,FAILED
hayed,hate,vowel/at1J30002.aiff,at1-vowel.json,FAILED
hudd,hood,vowel/at1J30001.aiff,at1-vowel.json,FAILED
hoed,hood,vowel/at1J30003.aiff,at1-vowel.json,FAILED
hoed,hood,vowel/at1J3.aiff,at1-vowel.json,FAILED
who'd,hood,vowel/at1J20008.aiff,at1-vowel.json,FAILED
heed,heat,vowel/at1J20004.aiff,at1-vowel.json,FAILED
hood,hood,vowel/at1J10009.aiff,at1-vowel.json,PASSED
who'd,food,vowel/at1J10008.aiff,at1-vowel.json,FAILED
hayed,hate,vowel/at1J2.aiff,at1-vowel.json,FAILED
hod,hard,vowel/at1J20000.aiff,at1-vowel.json,FAILED
hoed,hood,vowel/at1J40003.aiff,at1-vowel.json,FAILED
heed,heat,vowel/at1J40004.aiff,at1-vowel.json,FAILED
had,head,vowel/at1J20007.aiff,at1-vowel.json,FAILED
hood,good,vowel/at1J20009.aiff,at1-vowel.json,FAILED
heed,heat,vowel/at1J4.aiff,at1-vowel.json,FAILED
hayed,hate,vowel/at1J40002.aiff,at1-vowel.json,FAILED
hudd,hood,vowel/at1J40001.aiff,at1-vowel.json,FAILED
hod,hard,vowel/at1J40000.aiff,at1-vowel.json,FAILED
head,head,vowel/at1J30006.aiff,at1-vowel.json,PASSED
who'd,hood,vowel/at1J30008.aiff,at1-vowel.json,FAILED
hood,good,vowel/at1J30009.aiff,at1-vowel.json,FAILED
had,head,vowel/at1J30007.aiff,at1-vowel.json,FAILED
hudd,hood,vowel/at1J10001.aiff,at1-vowel.json,FAILED
hoed,hood,vowel/at1J10003.aiff,at1-vowel.json,FAILED
heed,heat,vowel/at1J10004.aiff,at1-vowel.json,FAILED
hid,hid,vowel/at1J10005.aiff,at1-vowel.json,PASSED
hayed,hate,vowel/at1J10002.aiff,at1-vowel.json,FAILED
heed,heat,vowel/at1J30004.aiff,at1-vowel.json,FAILED
head,head,vowel/at1J20006.aiff,at1-vowel.json,PASSED
hid,head,vowel/at1J20005.aiff,at1-vowel.json,FAILED
hayed,hate,vowel/at1J20002.aiff,at1-vowel.json,FAILED
hudd,hood,vowel/at1J20001.aiff,at1-vowel.json,FAILED
hoed,hood,vowel/at1J20003.aiff,at1-vowel.json,FAILED
precipitate,precipitate,multi/at2G83.aiff,at2G-multi.json,PASSED
proclaim,proclaim,multi/at2G85.aiff,at2G-multi.json,PASSED
procrastinate,procrastinate,multi/at2G86.aiff,at2G-multi.json,PASSED
porcelain,porcelain,multi/at2G80.aiff,at2G-multi.json,PASSED
poisoner,poisoner,multi/at2G79.aiff,at2G-multi.json,PASSED
photographic,photographic,multi/at2G78.aiff,at2G-multi.json,PASSED
amphibian,amphibian,multi/at2G8.aiff,at2G-multi.json,PASSED
preferably,preferribly,multi/at2G84.aiff,at2G-multi.json,FAILED
feminism,feminism,multi/at2G40.aiff,at2G-multi.json,PASSED
adapt,adapt,multi/at2G4.aiff,at2G-multi.json,PASSED
liberator,liberator,multi/at2G57.aiff,at2G-multi.json,PASSED
incoherent,incoherent,multi/at2G50.aiff,at2G-multi.json,PASSED
influenza,influenza,multi/at2G51.aiff,at2G-multi.json,PASSED
iodine,iodine,multi/at2G53.aiff,at2G-multi.json,PASSED
malfunction,malfunction,multi/at2G59.aiff,at2G-multi.json,PASSED
macaroni,macaroni,multi/at2G58.aiff,at2G-multi.json,PASSED
kangeroo,kangaroo,multi/at2G54.aiff,at2G-multi.json,FAILED
lemonade,lemonade,multi/at2G56.aiff,at2G-multi.json,PASSED
nectarine,nectarine,multi/at2G66.aiff,at2G-multi.json,PASSED
sterile,sterile,multi/at2G97.aiff,at2G-multi.json,PASSED
strengthen,strengthen,multi/at2G98.aiff,at2G-multi.json,PASSED
subdivide,subdivide,multi/at2G99.aiff,at2G-multi.json,PASSED
spider,spider,multi/at2G96.aiff,at2G-multi.json,PASSED
sarcastic,sarcastic,multi/at2G94.aiff,at2G-multi.json,PASSED
serenade,serenade,multi/at2G95.aiff,at2G-multi.json,PASSED
alien,alien,multi/at2G6.aiff,at2G-multi.json,PASSED
